 192.168.0.16 > GET > /home > 200 13.843107ms
 192.168.0.16 > GET > /assets/css/main.css > 304 130.076µs
 192.168.0.16 > GET > /assets/css/fonts/stylesheet.css > 404 192.077µs
 192.168.0.16 > GET > /api/stats > 200 1.044117ms
 192.168.0.16 > GET > /assets/img/checkerboard.jpg > 304 89.916µs
 192.168.0.16 > GET > /api/fetchanime > 200 856.573µs
 192.168.0.16 > GET > /get-messages > 200 2.130122ms
 192.168.0.16 > GET > /assets/favicon.ico > 404 95.547µs
 192.168.0.16 > GET > [/gdsf] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  183.324µs code=404, message=Not Found 0 0   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  309.547µs code=404, message=Not Found 0 31   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  2.563375ms code=404, message=Not Found 0 31   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  410.446µs code=404, message=Not Found 0 1229   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  174.468µs code=404, message=Not Found 0 1229   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  395.46µs code=404, message=Not Found 0 2549   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.346109ms code=404, message=Not Found 0 2549   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  306.999µs code=404, message=Not Found 0 2549   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  677.982µs code=404, message=Not Found 0 2552   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  493.732µs code=404, message=Not Found 0 2590   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.124943ms code=404, message=Not Found 0 2590   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  410.131µs code=404, message=Not Found 0 2719   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  174.169µs code=404, message=Not Found 0 2719   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  493.415µs code=404, message=Not Found 0 3228   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  417.468µs code=404, message=Not Found 0 3228   
 192.168.0.16 > GET > [/gdsf] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  432.393µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/] > [403] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  10.542964ms  0 9   
